Index,busmap
way/1409483752-220,GB 27
way/1409483753-220,GB 27
virtual_way/895593221:0-220,GB 26
way/1388533383-220,GB 23
way/1388533384-220,GB 23
virtual_way/1078525351:0-220,GB 23
virtual_way/635947176:1-254,GB 16
virtual_way/635829119:0-220,GB 12
way/635713005-220,GB 18
virtual_way/264105401:1-150,GB 10
