,Unit,Values,Description
enable,bool,"{true, false}",Switch to enable or disable benchmarking functionality for comparing model results with reference data.
remove_last_day,bool,"{true, false}",Switch to optionally remove the last day of the year to ensure the benchmarked values have exactly 52 weeks."
tables,,,
-- {table_name},,str,Table name to be benchmarked.
-- -- table_type,"{scenario_comparison, time_series}",str,Table type configuration to use.
-- -- sheet_name,--,str,Excel sheet name containing reference data.
-- -- unit,--,str,Data unit (e.g. TWh or GW) for conversion to the base unit using the unit conversion factors defined in `benchmarking:unit_conversion`.
-- -- index_col,"This is an Excel-like index, starting at 1.","int or List of int",Column index or list of column indices to use as row index when reading tables.
-- -- header,"This is an Excel-like index, starting at 1.","int or List of int",Row number or list of row numbers to use as column headers when reading tables.
-- -- nrows (optional),--,int,Number of rows to read from reference data.
-- -- ncolumns (optional),--,int,Number of columns to read from reference data.
-- -- names,,,
-- -- -- index,--,"List of str",Names for index levels corresponding to `index_col`.
-- -- -- column,--,"List of str",Names for column levels corresponding to `header`.
-- -- mapping,--,dict,Mapping from model carrier names to reference data names.
