country,2030,2040
AT,7.5515E+05,5.5114E+06
BE,6.2024E+05,2.2931E+06
BG,1.0316E+03,0.0000E+00
CH,9.6875E+04,3.4723E+05
CY,0.0000E+00,0.0000E+00
CZ,1.0938E+05,7.2006E+05
DE,2.1894E+07,1.1472E+08
DK,1.1564E+07,3.7108E+07
EE,0.0000E+00,0.0000E+00
ES,3.0791E+07,3.4025E+07
FI,2.4784E+07,1.0071E+08
FR,7.5355E+06,4.2314E+07
GB,2.3519E+07,1.2800E+08
GR,1.5262E+04,2.9519E+07
HR,1.8664E+04,3.8846E+06
HU,2.4153E+04,1.6192E+05
IE,4.8000E+06,1.2278E+07
IT,2.4661E+06,1.1015E+07
LT,1.0102E+06,1.1425E+07
LU,7.5129E+04,6.3435E+05
LV,0.0000E+00,0.0000E+00
MT,0.0000E+00,0.0000E+00
NL,8.4558E+06,9.6953E+07
NO,0.0000E+00,0.0000E+00
PL,1.5929E+06,7.0815E+06
PT,4.0965E+06,7.8643E+06
RO,4.2964E+04,1.7883E+05
SE,1.8909E+07,5.3507E+07
SI,1.3091E+06,4.9513E+06
SK,0.0000E+00,0.0000E+00
